NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle,major,minor
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,GEO,"35,589","35,984",4.68E-03,3.2,1436.1,"4,500",9/9/2003,15 yrs.,Cape Canaveral,Titan IV,35786.5,35786.10809274
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,GEO,"35,714","35,937",2.64E-03,2.89,1438.8,"5,000",18/01/2009,15 yrs.,Cape Canaveral,Delta 4 Heavy,35825.5,35825.37515508
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,GEO,"35,500","35,500",0.00E+00,0,1436,"5,000",21/11/2010,15 yrs.,Cape Canaveral,Delta 4 Heavy,35500,35500.00000000
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,GEO,"35,771","35,805",4.03E-04,0,1436.1,"5,000",29/06/2012,15 yrs.,Cape Canaveral,Delta 4 Heavy,35788,35787.99709385
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",NR (12/16),"National Reconnaissance Office (NRO),USA",Military,Earth Observation,GEO,"35,613","35,903",3.44E-03,7.51,1437.19,"5,000",11/6/2016,15 yrs.,Cape Canaveral,Delta 4 Heavy,35758,35757.78842644
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,"US Air Force,USA",Military,Communications,GEO,"35,772","35,801",3.44E-04,2.34,1436.1,"6,169",3/5/2012,14 yrs.,Cape Canaveral,Atlas 5,35786.5,35786.49788258
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,"US Air Force,USA",Military,Communications,GEO,"35,700","35,803",1.22E-03,4.2,1436.1,"6,169",18/09/2013,14 yrs.,Cape Canaveral,Atlas 5,35751.5,35751.47339372
Aeneas,USA,"Department of Homeland Security,USA",Government,Technology Development,LEO,480,790,2.21E-02,0.02,97.4,3,13/09/2012,2 yrs.,Vandenberg AFB,Atlas 5,635,634.84491089
Aerocube 4.5A,USA,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,495,791,2.11E-02,64.6,97.5,5,13/09/2012,2 yrs.,Vandenberg AFB,Atlas 5,643,642.85684905
Aerocube 4.5B,USA,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,499,792,2.09E-02,64.6,97.6,5,13/09/2012,2 yrs.,Vandenberg AFB,Atlas 5,645.5,645.35900417
Aerocube 5A,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,443,886,3.15E-02,120.3,98,5,6/12/2013,2 yrs.,Vandenberg AFB,Atlas 5,664.5,664.17024312
Aerocube 5B,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,443,886,3.15E-02,120.3,98,5,6/12/2013,2 yrs.,Vandenberg AFB,Atlas 5,664.5,664.17024312
Aerocube 5C,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,500,802,2.15E-02,64.78,97.74,2,8/10/2015,2 yrs.,Vandenberg AFB,Atlas 5,651,650.84952023
Aerocube 6A,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,614,700,6.12E-03,97.98,97.88,5,19/06/2014,3 yrs.,Dombarovsky Air Base,Dnepr,657,656.98769611
Aerocube 6B,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,614,700,6.12E-03,97.98,97.88,5,19/06/2014,3 yrs.,Dombarovsky Air Base,Dnepr,657,656.98769611
Aerocube 7A,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,500,802,2.15E-02,64.6,97.4,2,8/10/2015,3 yrs.,Vandenberg AFB,Atlas 5,651,650.84952023
Aerocube 8A,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,356,700,2.49E-02,55,95.19,5,20/05/2015,3 yrs.,Cape Canaveral,Atlas 5,528,527.83629198
Aerocube 8B,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,356,700,2.49E-02,55,95.19,5,20/05/2015,3 yrs.,Cape Canaveral,Atlas 5,528,527.83629198
Aerocube 8C,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,573,585,8.63E-04,98,96.23,2,11/11/2016,3 yrs.,Vandenberg AFB,Atlas 5,579,578.99978439
Aerocube 8D,NR,"Aerospace Corporation,USA",Commercial,Technology Development,LEO,572,584,8.64E-04,98,96.23,2,11/11/2016,3 yrs.,Vandenberg AFB,Atlas 5,578,577.99978426
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,"European Telecommunications Satellite Consortium (EUTELSAT),Multinational",Commercial,Communications,GEO,"35,764","35,808",5.22E-04,0.12,1436.08,"3,460",20/12/2008,15 yrs.,Guiana Space Center,Ariane 5,35786,35785.99512444
Afristar ,USA,"1Worldspace,USA",Commercial,Communications,GEO,"35,770","35,802",3.80E-04,0.03,1436.09,"2,704",28/10/1998,15 yrs.,Guiana Space Center,Ariane 44L,35786,35785.99741625
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA,USA",Government,Earth Observation,LEO,544,552,5.78E-04,97.9,96.2,215,25/04/2007,2 yrs.,Vandenberg AFB,Pegasus XL,548,547.99990846
AISat-1,Germany,"German Aerospace Center (DLR),Germany",Government,Communications,LEO,643,660,1.21E-03,98.25,97.76,14,30/06/2014,2 yrs.,Satish Dhawan Space Centre,PSLV-CA,651.5,651.49952307
AISSat-1 (Automatic Identification System Satellite-1),Norway,"Norwegian Coastal Admnistration,Norway",Government,Communications,LEO,615,632,1.22E-03,98,97.2,6,12/7/2010,3 yrs.,Satish Dhawan Space Centre,PSLV,623.5,623.49953599
AISSat-2 (Automatic Identification System Satellite-2),Norway,"Norwegian Coastal Admnistration,Norway",Government,Communications,LEO,625,631,4.29E-04,98.4,97.27,6,8/7/2014,3 yrs.,Baikonur Cosmodrome,Soyuz-2.1b,628,627.99994221
AIST-1,Russia,"Samara State Aerospace University, SGAU,Russia",Civil,Technology Development,LEO,599,626,1.93E-03,82.4,96.9,null,28/12/2013,3 yrs.,Plesetsk Cosmodrome,"Soyuz 2,1v",612.5,612.49885925
AIST-2,Russia,"Samara State Aerospace University, SGAU,Russia",Civil,Technology Development,LEO,558,582,1.73E-03,64.88,96.06,53,19/04/2013,3 yrs.,Baikonur Cosmodrome,Soyuz 2.1a,570,569.99914702
AIST-2D,Russia,"Samara State Aerospace University,Russia",Civil,Technology Development,LEO,471,486,1.10E-03,97.28,94.18,531,27/04/2016,3 yrs.,Vostochny Cosmodrome,Soyuz 2.1a,478.5,478.49971051
Al-Farabi-1,NR (9/17),"Al-Farabi Kazakh National University,Kazakhstan",Civil,Technology Development,LEO,497,497,0.00E+00,97.5,94.5,2,15/02/2017,3 yrs.,Satish Dhawan Space Centre,PSLV XL,497,497.00000000
ALiCE  (AFIT LEO iMESA CNT E),NR,"US Air Force Institute of Technology,USA",Military,Technology Development,LEO,443,886,3.15E-02,120.3,98,5,6/12/2013,3 yrs.,Vandenberg AFB,Atlas 5,664.5,664.17024312
Alphasat I-XL  (Inmarsat IV-A F4),United Kingdom,"INMARSAT, Ltd./European Space Agency,United Kingdom/ESA",Commercial/Government,Multiple,GEO,"35,786","35,787",1.19E-05,0.02,1436.09,"6,650",25/07/2013,15 yrs.,Guiana Space Center,Ariane 5 ECA,35786.5,35786.49999747
Alsat 2B,NR (12/16),"Algerian Space Agency (ASAL),Algeria",Government,Earth Observation,LEO,646,660,9.97E-04,98.2,97.7,117,26/09/2016,5 yrs.,Satish Dhawan Space Centre,PSLV,653,652.99967546
Alsat-1B,NR (12/16),"Algerian Space Agency (ASAL),Algeria",Government,Earth Observation,LEO,661,704,3.05E-03,98.2,98.4,103,26/09/2016,5 yrs.,Satish Dhawan Space Centre,PSLV,682.5,682.49682551
AlSat-1N,NR (12/16),"Algerian Space Agency (ASAL)/UK Space Agency,Algeria",Government,Technology Development,LEO,661,698,2.62E-03,98.2,98.3,10,26/09/2016,5 yrs.,Satish Dhawan Space Centre,PSLV,679.5,679.49766782
Alsat-2A (Algeria Satellite 2A),Algeria,"Algerian Space Agency (ASAL),Algeria",Government,Earth Observation,LEO,672,674,1.42E-04,98.1,98.2,130,12/7/2010,5 yrs.,Satish Dhawan Space Centre,PSLV,673,672.99999321
Altair-1 (Altair Pathfinder),NR (10/17),"Millennium Space Systems,USA",Commercial,Technology Demonstration,LEO,401,404,2.21E-04,51.6,92.6,10,18/05/2017,.25 yrs.,International Space Station,Nanorack Deployer,402.5,402.49999017
Amazonas-2,Brazil,"Hispamar (subsidiary of Hispasat - Spain),Spain",Commercial,Communications,GEO,"35,767","35,805",4.51E-04,0.03,1436.08,"5,465",1/10/2009,15 yrs.,Guiana Space Center,Ariane 5,35786,35785.99636055
Amazonas-3,Brazil,"Hispamar (subsidiary of Hispasat - Spain),Spain",Commercial,Communications,GEO,"35,781","35,791",1.19E-04,0.03,1436.05,"6,265",7/2/2013,15 yrs.,Guiana Space Center,Ariane 5 ECA,35786,35785.99974662
Amazonas-4A,NR,"Hispamar (subsidiary of Hispasat - Spain),Spain",Commercial,Communications,GEO,"35,784","35,795",1.30E-04,0.08,1436.24,"2,938",22/03/2014,15 yrs.,Guiana Space Center,Ariane 5 ECA,35789.5,35789.49969758
"AMC-1 (Americom 1, GE-1)",USA,"SES (Société Européenne des Satellites (SES)),USA",Commercial,Communications,GEO,"35,772","35,800",3.32E-04,0.03,1436.1,"2,783",8/9/1996,15 yrs.,Cape Canaveral,Atlas 2A,35786,35785.99802776
"AMC-10 (Americom-10, GE 10)",USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,775","35,797",2.61E-04,0.01,1436.09,"2,315",5/2/2004,15 yrs.,Cape Canaveral,Atlas 2AS,35786,35785.99878111
"AMC-11 (Americom-11, GE 11)",USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,774","35,797",2.73E-04,0.04,1436.07,"2,340",19/05/2004,15 yrs.,Cape Canaveral,Atlas 2AS,35785.5,35785.49866647
AMC-15 (Americom-15),USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,777","35,795",2.13E-04,0.04,1436.08,"4,200",14/10/2004,15 yrs.,Baikonur Cosmodrome,Proton M,35786,35785.99918821
AMC-16 (Americom-16),USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,780","35,793",1.54E-04,0.02,1436.1,"4,312",17/12/2004,15 yrs.,Cape Canaveral,Atlas 5,35786.5,35786.49957564
AMC-18 (Americom 18),USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,773","35,800",3.20E-04,0.06,1436.1,"2,081",8/12/2006,15 yrs.,Guiana Space Center,Ariane 5,35786.5,35786.49816773
"AMC-2 (Americom 2, GE-2)",USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,774","35,798",2.85E-04,0.05,1436.1,"2,648",30/01/1997,15 yrs.,Guiana Space Center,Ariane 44L,35786,35785.99854664
AMC-21 (Americom 21),United Kingdom,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,778","35,793",1.78E-04,3,1436.1,"2,500",14/08/2008,15 yrs.,Guiana Space Center,Ariane 5 ECA,35785.5,35785.49943309
"AMC-3 (Americom 3, GE-3)",USA,"SES World Skies/Global Eagle Entertainment,USA",Commercial,Communications,GEO,"35,777","35,795",2.13E-04,0.02,1436.08,"2,845",4/9/1997,15 yrs.,Cape Canaveral,Atlas 2AS,35786,35785.99918821
"AMC-4 (Americom-4, GE-4)",USA,"SES World Skies/Gogo,USA",Commercial,Communications,GEO,"35,781","35,791",1.19E-04,0.01,1436.1,"3,909",13/11/1999,15 yrs.,Guiana Space Center,Ariane 44LP,35786,35785.99974662
"AMC-6 (Americom-6, GE-6)",USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,778","35,795",2.02E-04,0.05,1436.12,"3,901",22/10/2000,15 yrs.,Baikonur Cosmodrome,Proton K,35786.5,35786.49926988
"AMC-7 (Americom-7, GE-7)",USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,773","35,798",2.97E-04,0.01,1436.08,"1,935",14/09/2000,15 yrs.,Guiana Space Center,Ariane 5G,35785.5,35785.49842170
"AMC-8 (Americom-8, GE-8, Aurora 3)",USA,"SES World Skies (SES [Société Européenne des Satellites (SES)]),USA",Commercial,Communications,GEO,"35,773","35,798",2.97E-04,0.03,1436.07,"2,015",19/12/2000,15 yrs.,Guiana Space Center,Ariane 5G,35785.5,35785.49842170
Amos 3,NR,"Space-Communication Ltd,Israel",Military/Commercial,Communications,GEO,"35,783","35,789",7.12E-05,0.04,1436.1,null,28/04/2008,12 yrs.,Baikonur Cosmodrome,Zenit 3SLB,35786,35785.99990929
Amos 4,NR,"Space-Communication Ltd,Israel",Military/Commercial,Communications,GEO,"35,633","35,796",1.94E-03,0.01,1432,null,31/08/2013,12 yrs.,Baikonur Cosmodrome,Zenit 2SB,35714.5,35714.43279239
Amsat-Oscar 7 (AO-7),USA,"Amsat-NA,USA",Civil,Communications,LEO,"1,440","1,459",1.21E-03,101.4,114.9,29,15/11/1974,12 yrs.,Vandenberg AFB,Delta 2310,1449.5,1449.49893889
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,778","35,793",1.78E-04,0.02,1436.08,"4,710",21/11/2000,15 yrs.,Guiana Space Center,Ariane 44L,35785.5,35785.49943309
Anik F1R,Canada,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,777","35,795",2.13E-04,0.02,1436.1,"4,500",9/9/2005,15 yrs.,Baikonur Cosmodrome,Proton M,35786,35785.99918821
Anik F2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,781","35,790",1.07E-04,0.01,1436.08,"5,910",18/07/2004,15 yrs.,Guiana Space Center,Ariane 5,35785.5,35785.49979515
Anik F3,Canada,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,778","35,794",1.90E-04,0.01,1436.1,"4,715",9/4/2007,15 yrs.,Baikonur Cosmodrome,Proton M,35786,35785.99935406
Anik G1,NR,"Telesat Canada Ltd. (BCE, Inc.),Canada",Commercial,Communications,GEO,"35,773","35,799",3.08E-04,0.01,1436.08,"4,905",15/04/2013,15 yrs.,Baikonur Cosmodrome,Proton M,35786,35785.99830260
AntelSat,NR,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL,Uruguay",Civil,Technology Development,LEO,612,696,5.98E-03,97.96,96.99,2,19/06/2014,15 yrs.,Dombarovsky Air Base,Dnepr,654,653.98830624
AOBA-Velox 3 ,NR (10/17),"Nanyang Technological University/Kyushu Institute of Technology,Singapore/Japan",Civil,Technology Development,LEO,398,407,6.64E-04,51.64,92.61,2,9/12/2016,.5 yrs.,International Space Station,Nanorack Deployer,402.5,402.49991127
AprizeSat 1 (LatinSat-C),USA,"Aprize Satellite Argentina,Argentina",Commercial,Multiple,LEO,696,764,4.79E-03,98,99.4,12,29/06/2004,2 yrs.,Baikonur Cosmodrome,Dnepr 1,730,729.99162536
AprizeSat 10 (exactView-13),NR,"Aprize Satellite,USA/Argentina",Commercial,Multiple,LEO,613,733,8.52E-03,97.9,98,12,19/06/2014,3 yrs.,Dombarovsky Air Base,Dnepr,673,672.97557289
AprizeSat 2 (LatinSat-D),USA,"Aprize Satellite Argentina,Argentina",Commercial,Multiple,LEO,694,850,1.09E-02,98.2,100.3,12,29/06/2004,3 yrs.,Baikonur Cosmodrome,Dnepr 1,772,771.95413798
AprizeSat 3 ,USA,"Aprize Satellite,USA/Argentina",Commercial,Multiple,LEO,559,662,7.38E-03,98.18,97,12,29/07/2009,3 yrs.,Baikonur Cosmodrome,Dnepr,610.5,610.48337452
AprizeSat 4 ,USA,"Aprize Satellite,USA/Argentina",Commercial,Multiple,LEO,604,674,4.99E-03,98.1,97.5,12,29/07/2009,3 yrs.,Baikonur Cosmodrome,Dnepr,639,638.99204437
AprizeSat 5,USA,"Aprize Satellite,Canada",Commercial,Communications,LEO,610,694,5.98E-03,98.2,97.8,12,17/08/2011,2 yrs.,Dombarovsky Air Base,Dnepr 1,652,651.98834201
AprizeSat 7,USA,"Aprize Satellite,Canada",Commercial,Communications,LEO,594,653,4.22E-03,97.8,97.17,12,21/11/2013,12 yrs.,Dombarovsky Air Base,Dnepr,623.5,623.49444821
AprizeSat 8 (exactView-12),NR,"Aprize Satellite,USA/Argentina",Commercial,Multiple,LEO,594,669,5.36E-03,97.8,97.99,12,21/11/2013,4 yrs.,Dombarovsky Air Base,Dnepr,631.5,631.49092856
AprizeSat 9 (exactView-11),NR,"exactEarth,Canada",Commercial,Multiple,LEO,613,715,7.25E-03,97.9,98,12,19/06/2014,7 yrs.,Dombarovsky Air Base,Dnepr,664,663.98254902
Apstar 6,China,"APT Satellite Holdings Ltd.,China",Commercial,Communications,GEO,"35,778","35,794",1.90E-04,0.01,1436.08,"4,680",12/4/2005,3 yrs.,Xichang Satellite Launch Center,Long March 3B,35786,35785.99935406
Apstar 7,China,"APT Satellite Holdings Ltd.,China",Commercial,Communications,GEO,"35,864","35,874",1.18E-04,0.03,1440.31,"5,054",31/03/2012,15 yrs.,Xichang Satellite Launch Center,Long March 3B,35869,35868.99975028
Apstar 9,China,"APT Satellite Holdings Ltd.,China",Commercial,Communications,GEO,"35,782","35,788",7.12E-05,0.12,1436.01,"5,200",16/10/2015,15 yrs.,Xichang Satellite Launch Center,Long March 3B,35785,35784.99990930
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,"APT Satellite Holdings Ltd.,China",Commercial,Communications,GEO,"35,778","35,795",2.02E-04,0.02,1436.12,"3,000",30/05/1998,15 yrs.,Xichang Satellite Launch Center,Long March 3B,35786.5,35786.49926988
Arabsat 5C,NR,"Arab Satellite Communications Org. (ASCO),Multinational",Government,Communications,GEO,"35,766","35,805",4.63E-04,0.06,1436.06,"4,630",21/09/2011,15 yrs.,Guiana Space Center,Arinae 5 ECA,35785.5,35785.49616435
Arabsat 7F (Nimiq 1) ,Canada,"Arab Satellite Communications Org. (ASCO),Multinational",Commercial,Communications,GEO,"35,778","35,794",1.90E-04,0.01,1436.09,"3,600",20/05/1999,12 yrs.,Baikonur Cosmodrome,Proton D,35786,35785.99935406
ARC-1 (Alaska Research Satellite-1),NR,"University of Alaska-Fairbanks,USA",Civil,Technology Development,LEO,497,801,2.17E-02,64.78,97.71,1,8/10/2015,12 yrs.,Cape Canaveral,Atlas 5,649,648.84717820
ArSat 1,Argentina,"ArSat,Argentina",Commercial,Communications,GEO,"35,778","35,795",2.02E-04,0.01,1436.07,"3,000",16/10/2014,15 yrs.,Guiana Space Center,Ariane 5 ECA,35786.5,35786.49926988
ArSat 2,Argentina,"ArSat,Argentina",Commercial,Communications,GEO,"35,786","35,801",1.78E-04,0.01,1436.06,"2,977",30/09/2015,15 yrs.,Guiana Space Center,Ariane 5 ECA,35793.5,35793.49943296
Artemis (Advanced Data Relay and Technology Mission Satellite) ,ESA,"European Space Agency,ESA",Commercial/Government,Multiple,GEO,"35,771","35,803",3.80E-04,7.03,1436.12,"3,105",12/7/2001,10 yrs.,Guiana Space Center,Ariane 5G,35787,35786.99741618
AsiaSat-3S (Asiasat 3SA),China,"Asia Satellite Telecommunications Co. Ltd. ,China",Commercial,Communications,GEO,"35,780","35,792",1.42E-04,0.02,1436.07,"3,480",21/03/1999,15 yrs.,Baikonur Cosmodrome,Proton K,35786,35785.99963921
AsiaSat-4 ,China,"Asia Satellite Telecommunications Co. Ltd.,China",Commercial,Communications,GEO,"35,784","35,789",5.93E-05,0,1436.1,"4,137",12/4/2003,15 yrs.,Cape Canaveral,Atlas 3B,35786.5,35786.49993708
AsiaSat-5,China,"Asia Satellite Telecommunications Co. Ltd.,China",Commercial,Communications,GEO,"35,778","35,795",2.02E-04,0,1436.11,"3,760",11/8/2009,15 yrs.,Baikonur Cosmodrome,Breeze M,35786.5,35786.49926988
AsiaSat-6 (Thaicom-7),China,"Asia Satellite Telecommunications Co. Ltd.,China",Commercial,Communications,GEO,"35,783","35,793",1.19E-04,0.07,1436.17,"3,700",7/9/2014,15 yrs.,Cape Canaveral,Falcon 9,35788,35787.99974660
AsiaSat-7,China,"Asia Satellite Telecommunications Co. Ltd. ,China",Commercial,Communications,GEO,"35,782","35,793",1.30E-04,0.02,1436.17,"3,813",25/11/2011,15 yrs.,Baikonur Cosmodrome,Proton M,35787.5,35787.49969760
AsiaSat-8,China,"Asia Satellite Telecommunications Co. Ltd. ,China",Commercial,Communications,GEO,"35,781","35,793",1.42E-04,0.07,1436.1,"4,500",5/8/2014,15 yrs.,Cape Canaveral,Falcon 9,35787,35786.99963920
AsiaStar ,USA,"1Worldspace,USA",Commercial,Communications,GEO,"35,773","35,801",3.32E-04,0.02,1436.15,"2,775",21/03/2000,15 yrs.,Guiana Space Center,Ariane 5G,35787,35786.99802771
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,"Ministry of Economy, Trade and Industry,Japan",Government,Earth Observation,LEO,506,507,7.27E-05,97.48,94.75,500,6/11/2014,3 yrs.,Dombarovsky Air Base,Dnepr,506.5,506.49999866
Astra 1D ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,776","35,795",2.25E-04,1.15,1436.08,"2,924",1/11/1994,15 yrs.,Guiana Space Center,Ariane 42P,35785.5,35785.49909418
Astra 1F ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,778","35,797",2.25E-04,0.03,1436.15,"3,010",18/04/1996,15 yrs.,Baikonur Cosmodrome,Proton K,35787.5,35787.49909413
Astra 1G ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,780","35,791",1.30E-04,0.04,1436.08,"3,379",2/12/1997,15 yrs.,Baikonur Cosmodrome,Proton K,35785.5,35785.49969761
Astra 1H ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,776","35,794",2.13E-04,0.06,1436.04,"3,690",18/06/1999,15 yrs.,Baikonur Cosmodrome,Proton D,35785,35784.99918824
Astra 1KR,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,766","35,807",4.86E-04,0.08,1436.1,"4,332",20/04/2006,15 yrs.,Cape Canaveral,Atlas 5,35786.5,35786.49577369
Astra 1L,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,772","35,798",3.08E-04,0.05,1436.03,"4,500",4/5/2007,15 yrs.,Guiana Space Center,Ariane 5 ECA,35785,35784.99830265
Astra 1M,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,804","35,852",5.69E-04,0.14,1438.2,"5,345",5/11/2008,15 yrs.,Baikonur Cosmodrome,Proton M,35828,35827.99420015
Astra 1N,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,715","35,780",7.72E-04,0.12,1434.1,"5,350",6/8/2011,15 yrs.,Guiana Space Center,Ariane 5 ECA,35747.5,35747.48934753
Astra 2A ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,776","35,797",2.49E-04,0.08,1436.12,"3,635",30/08/1998,15 yrs.,Baikonur Cosmodrome,Proton K,35786.5,35786.49889060
Astra 2B ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,772","35,801",3.44E-04,0.07,1436.11,"3,315",14/09/2000,14yrs.,Guiana Space Center,Ariane 5G,35786.5,35786.49788258
Astra 2C ,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,768","35,804",4.27E-04,0.07,1436.12,"3,643",16/06/2001,15 yrs.,Baikonur Cosmodrome,Proton K,35786,35785.99673759
Astra 2D,Luxembourg,"SES (Société Européenne des Satellites (SES)),Luxembourg",Commercial,Communications,GEO,"35,770","35,802",3.80E-04,0.07,1436.1,"1,420",19/12/2000,15 yrs.,Guiana Space Center,Ariane 5G,35786,35785.99741625
